Type,beneficial_inst_P,neutral_inst_P,deleterious_inst_P,beneficial_inst_S,neutral_inst_S,deleterious_inst_S,beneficial_effective_P,neutral_effective_P,deleterious_effective_P,beneficial_effective_S,neutral_effective_S,deleterious_effective_S,dNdneutral_1,dNdneutral_2,dNdneutral_3,dNdneutral_4,dNdneutral_5,dNdneutral_6,dNdneutral_7,dNdneutral_8,dNdneutral_9,dNdneutral_10,dNdneutral_11,dNdneutral_12,dNdneutral_13,dNdneutral_14,dNdneutral_15,dNdneutral_16,dNdneutral_17,dNdneutral_18,dNdneutral_19,dNdneutral_20,dNdneutral_21,dNdneutral_22,dNdneutral_23,dNdneutral_24,dNdneutral_25,dNdneutral_26,dNdneutral_27,dNdneutral_28,dNdneutral_29,dNdneutral_30
quasi_env20,0.019367928022412113,0.17875346842024864,0.8018786035573393,0.03328733212054936,0.8812411939541785,0.08547147392527223,0.01733000881247434,0.17875346842024864,0.8039165227672771,0.0467115286757169,0.8812411939541785,0.0720472773701047,0.11927083333333334,0.1078125,0.11875,0.10989583333333333,0.10729166666666666,0.12395833333333334,0.10989583333333333,0.11197916666666667,0.10885416666666667,0.10260416666666666,0.103125,0.1015625,0.11302083333333333,0.10989583333333333,0.134375,0.1140625,0.11354166666666667,0.10260416666666666,0.11041666666666666,0.1109375,0.10208333333333333,0.1171875,0.103125,0.10104166666666667,0.11302083333333333,0.10052083333333334,0.134375,0.10989583333333333,0.09375,0.10416666666666667
quasi_int2,0.017204277691256924,0.18196452566806698,0.800831196640676,0.00202464329822604,0.9262127415771937,0.07176261512458024,0.0052827874816032665,0.18196452566806698,0.8127526868503299,0.0,0.9262127415771937,0.0737872584228063,0.10677083333333333,0.10677083333333333,0.1046875,0.10572916666666667,0.11927083333333334,0.10208333333333333,0.103125,0.11197916666666667,0.09270833333333334,0.10208333333333333,0.10520833333333333,0.10677083333333333,0.10364583333333334,0.11197916666666667,0.1109375,0.10885416666666667,0.10572916666666667,0.1125,0.096875,0.10416666666666667,0.09791666666666667,0.1125,0.1015625,0.11145833333333334,0.09322916666666667,0.09427083333333333,0.11354166666666667,0.11770833333333333,0.09739583333333333,0.1015625
quasi_int25,0.018072649948574458,0.17923457663490674,0.8026927734165187,0.0023298910062196027,0.9302292445886187,0.06744086440516153,0.013930001005345471,0.17923457663490674,0.8068354223597478,0.00015432098765432098,0.9302292445886187,0.06961643442372681,0.10989583333333333,0.10989583333333333,0.0921875,0.11875,0.10885416666666667,0.11927083333333334,0.10104166666666667,0.11041666666666666,0.11197916666666667,0.1015625,0.109375,0.1,0.10208333333333333,0.10104166666666667,0.1125,0.1015625,0.1125,0.115625,0.1078125,0.11197916666666667,0.11197916666666667,0.1140625,0.10572916666666667,0.10416666666666667,0.1046875,0.11510416666666666,0.10260416666666666,0.10208333333333333,0.12708333333333333,0.11458333333333333
quasi_int100,0.019993453137571067,0.17791009908452846,0.8020964477779006,0.144223010668389,0.7496536595101634,0.10612332982144769,0.02031725347370599,0.17791009908452846,0.8017726474417656,0.18602406131155616,0.7496536595101634,0.06432227917828051,0.12083333333333333,0.13333333333333333,0.13229166666666667,0.13958333333333334,0.13229166666666667,0.13229166666666667,0.13802083333333334,0.12239583333333333,0.13697916666666668,0.1453125,0.12552083333333333,0.13489583333333333,0.14010416666666667,0.11197916666666667,0.1296875,0.134375,0.13854166666666667,0.1578125,0.1328125,0.1328125,0.1453125,0.14895833333333333,0.12552083333333333,0.11979166666666667,0.13333333333333333,0.14270833333333333,0.1203125,0.13333333333333333,0.14166666666666666,0.13541666666666666
quasi_int200,0.021908854225310078,0.17737659015319304,0.8007145556214967,0.4840122477057028,0.393739023732966,0.1222487285613311,0.025510565413589367,0.17737659015319304,0.7971128444332177,0.5733895895945742,0.393739023732966,0.03287138667245968,0.2453125,0.234375,0.240625,0.253125,0.2708333333333333,0.26979166666666665,0.24947916666666667,0.2677083333333333,0.22239583333333332,0.26875,0.2296875,0.27447916666666666,0.2708333333333333,0.22239583333333332,0.246875,0.265625,0.24739583333333334,0.26875,0.25729166666666664,0.21979166666666666,0.23020833333333332,0.2713541666666667,0.2760416666666667,0.2171875,0.2833333333333333,0.29583333333333334,0.23125,0.234375,0.24270833333333333,0.26614583333333336
quasi_pop500,0.019251043581683423,0.1367992735780154,0.8439496828403014,0.024697833411410623,0.4178953876604781,0.5574067789281115,0.0177215170398898,0.1367992735780154,0.8454792093820949,0.011033426925763258,0.4178953876604781,0.5710711854137588,0.2421875,0.24947916666666667,0.24114583333333334,0.2671875,0.228125,0.23854166666666668,0.23854166666666668,0.23020833333333332,0.24375,0.24739583333333334,0.25104166666666666,0.2296875,0.234375,0.24114583333333334,0.24166666666666667,0.25885416666666666,0.23541666666666666,0.2520833333333333,0.24114583333333334,0.24583333333333332,0.25364583333333335,0.2359375,0.24375,0.2359375,0.23229166666666667,0.25364583333333335,0.23177083333333334,0.2375,0.2390625,0.2375
quasi_pop1000,0.021440787347420245,0.14446895031837972,0.8340902623342001,0.02137722681151238,0.5678889108340697,0.4107338623544178,0.018821238773900753,0.14446895031837972,0.8367098109077195,0.010563875887317364,0.5678889108340697,0.4215472132786128,0.18645833333333334,0.1671875,0.16302083333333334,0.165625,0.16354166666666667,0.17708333333333334,0.184375,0.16875,0.19583333333333333,0.17552083333333332,0.17864583333333334,0.16666666666666666,0.18072916666666666,0.17083333333333334,0.18541666666666667,0.18020833333333333,0.16875,0.18177083333333333,0.15885416666666666,0.17864583333333334,0.1875,0.16927083333333334,0.16666666666666666,0.16041666666666668,0.18072916666666666,0.17708333333333334,0.1734375,0.1765625,0.16302083333333334,0.17135416666666667
quasi_pop5000,0.019319196168538864,0.17044277913742267,0.8102380246940384,0.010318279148152117,0.855618893739536,0.13406282711231196,0.01678941123280014,0.17044277913742267,0.8127678096297772,0.010727567630726466,0.855618893739536,0.13365353862973758,0.11041666666666666,0.10572916666666667,0.1140625,0.12916666666666668,0.12552083333333333,0.103125,0.115625,0.10833333333333334,0.12239583333333333,0.11770833333333333,0.121875,0.10833333333333334,0.10989583333333333,0.11354166666666667,0.12291666666666666,0.10729166666666666,0.10520833333333333,0.12291666666666666,0.11354166666666667,0.11145833333333334,0.10625,0.10833333333333334,0.10833333333333334,0.121875,0.11354166666666667,0.121875,0.10572916666666667,0.12760416666666666,0.11927083333333334,0.11614583333333334
quasi_pop10000,0.018871421716105466,0.18002831340277486,0.8011002648811196,0.012693842901719137,0.9075248257759808,0.07978133132230006,0.016603254010054705,0.18002831340277486,0.8033684325871704,0.015785401608898023,0.9075248257759808,0.07668977261512118,0.1078125,0.09895833333333333,0.10208333333333333,0.11770833333333333,0.09635416666666667,0.1078125,0.121875,0.1109375,0.09427083333333333,0.11197916666666667,0.1109375,0.10364583333333334,0.11770833333333333,0.11145833333333334,0.1078125,0.10885416666666667,0.11666666666666667,0.1046875,0.10364583333333334,0.10625,0.12135416666666667,0.09895833333333333,0.10989583333333333,0.10989583333333333,0.11510416666666666,0.10885416666666667,0.09583333333333334,0.10677083333333333,0.103125,0.10416666666666667
quasi_pop50000,0.017995168546755067,0.19897805794097503,0.7830267735122701,0.02497027616643649,0.9550431276937914,0.019986596139771974,0.015987634526617542,0.19897805794097503,0.7850343075324077,0.03413005619625294,0.9550431276937914,0.010826816109955522,0.08854166666666667,0.084375,0.0859375,0.09479166666666666,0.09895833333333333,0.07864583333333333,0.08333333333333333,0.09791666666666667,0.0828125,0.08333333333333333,0.096875,0.0828125,0.08072916666666667,0.09895833333333333,0.08177083333333333,0.09166666666666666,0.08802083333333334,0.07916666666666666,0.096875,0.09166666666666666,0.09375,0.09583333333333334,0.09270833333333334,0.08385416666666666,0.08333333333333333,0.1015625,0.09895833333333333,0.090625,0.09895833333333333,0.08385416666666666
